code,name,sector,price,pct_chg,pe,pb,value_score,growth_score,quality_score,momentum_score,total_score,type,target_price,stop_loss,risk_ratio,top20_date,status
600019,宝钢股份,钢铁,6.36,1.11,14.68,0.68,17,5,10,8,40,价值投资,7.95,5.41,1.7,2026-04-28,有效
601668,中国建筑,基建,4.82,0.21,5.1,0.41,20,5,10,2,37,价值投资,6.03,4.1,1.7,2026-04-28,有效
601006,大秦铁路,交通运输,5.32,1.14,16.09,0.65,14,5,10,8,37,成长股,7.45,4.68,3.3,2026-04-28,有效
600999,招商证券,券商,15.71,2.15,11.06,1.13,17,5,6,8,36,价值投资,19.64,13.35,1.7,2026-04-28,有效
601318,中国平安,保险,57.61,0.1,7.74,1.04,23,5,6,2,36,价值投资,72.01,48.97,1.7,2026-04-28,有效
600036,招商银行,银行,39.31,-0.18,6.6,0.91,23,0,10,0,33,价值投资,49.14,33.41,1.7,2026-04-28,有效
601398,工商银行,银行,7.5,-0.13,7.25,0.69,23,0,10,0,33,价值投资,9.38,6.38,1.7,2026-04-28,有效
600030,中信证券,券商,27.59,3.06,12.14,1.4,14,5,6,8,33,价值投资,34.49,23.45,1.7,2026-04-28,有效
601336,新华保险,保险,62.48,0.48,5.37,1.75,18,5,6,4,33,超跌反弹,74.98,57.48,2.5,2026-04-28,有效
600352,浙江龙盛,化工,13.23,1.53,21.85,1.3,14,5,6,8,33,成长股,18.52,11.64,3.3,2026-04-28,有效
601618,中国中冶,基建,2.93,1.03,45.94,0.6,10,5,10,8,33,超跌反弹,3.52,2.7,2.5,2026-04-28,有效
601155,新城控股,房地产,14.11,1.15,46.8,0.52,10,5,10,8,33,超跌反弹,16.93,12.98,2.5,2026-04-28,有效
600486,扬农化工,化工,74.49,5.03,24.0,2.54,11,10,3,8,32,成长股,104.29,65.55,3.3,2026-04-28,有效
000333,美的集团,家电,80.59,1.37,13.95,2.75,14,5,3,8,30,价值投资,100.74,68.5,1.7,2026-04-28,有效
603259,药明康德,医药,110.57,10.0,16.39,3.92,11,10,0,8,29,成长股,154.8,97.3,3.3,2026-04-28,有效
600027,华电国际,电力,4.9,-0.2,9.37,1.18,23,0,6,0,29,价值投资,6.12,4.17,1.7,2026-04-28,有效
002415,海康威视,科技,34.75,2.3,21.32,3.7,14,5,0,8,27,成长股,48.65,30.58,3.3,2026-04-28,有效
002311,海大集团,新能源,48.4,4.02,20.5,3.26,14,5,0,8,27,成长股,67.76,42.59,3.3,2026-04-28,有效
000651,格力电器,家电,37.5,-0.03,6.63,1.51,20,0,6,0,26,价值投资,46.88,31.88,1.7,2026-04-28,有效
600795,国电电力,电力,4.88,-0.2,12.15,1.46,20,0,6,0,26,价值投资,6.1,4.15,1.7,2026-04-28,有效
